.digital,"Advertising/Marketing/PR/Design agencies, media buying/production companies & gaming sites, technology companies, e-commerce sites",,,Identity Digital[ID 44],Identity Digital[ID 44],—
.direct,"Direct-to-consumer stores, bargain hunters, transportation services, messenger services, delivery & shipping services",,,Identity Digital[ID 45],Identity Digital[ID 45],—
.directory,"Listings organizations, name, phone & address directories, online business directories, clubs, groups, & other organizations directories",,,Identity Digital[ID 46],Identity Digital[ID 46],—
.discount,"Discount sites, bargain hunters, coupon sites, coupon pages, coupon-themed blogs",,,Identity Digital[ID 47],Identity Digital[ID 47],—
.diy,do-it-yourself,,,"Lifestyle Domain Holdings, Inc.[11]","Lifestyle Domain Holdings, Inc.[11]",
.docs,Technical Documentation,,,Charleston Road Registry Inc. (Google)[11],Charleston Road Registry Inc. (Google)[11],
.doctor,"Doctors, any business with “doctor” in the name, other health care providers, PhD experts in any field",,,Identity Digital,Identity Digital,
.dog,"Dog breeders, dog walking, grooming & sitting businesses, veterinarians, animal shelters & adoption centers, pet stores & suppliers",,,Identity Digital,Identity Digital,—
.domains,"Any web-based service, network consultants, domain brokers, resellers and registrars, home-related products and services",,,Identity Digital[ID 48],Identity Digital[ID 48],—
.dot,,,,Dish DBS Corporation[11],Dish DBS Corporation[11],
.download,technology,,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.drive,,,,Charleston Road Registry Inc. (Google)[11],Charleston Road Registry Inc. (Google)[11],Reserved for Google Drive
.earth,Individuals or businesses with a worldwide focus,,,"Interlink Co., Ltd.[11]","Interlink Co., Ltd.[11]",—
.eat,restaurants and foodies,,,Google[n 2],Google[n 2],—
.eco,"Sustainability minded companies, non-profits and professionals.[36]",,,Big Room Inc.[38],Big Room Inc.[38],Open to anyone pledging a commitment to sustainability action.[37]
.education,"Colleges & universities, public schools, PTAs & other school groups, education research organizations, any organization focused on educating its audience",,,Identity Digital[ID 49],Identity Digital[ID 49],—
.email,"Advertising/Marketing/PR/Design agencies, email marketing experts, CRM , anyone who wants a memorable email address",,,Identity Digital[ID 50],Identity Digital[ID 50],—
.energy,"Electrical, mechanical, chemical, nuclear & thermal energy producers, solar, wind, hydro, bio , oil industry R&D, energy food & drink manufacturers",,,Identity Digital[ID 51],Identity Digital[ID 51],—
.engineer,"Computer and software engineering companies,  engineering companies, engineer training or educational institutions, railroad engineers",,,Identity Digital[n 1],Identity Digital[n 1],—
.engineering,"Environmental, chemical, geotechnical, and bio engineering companies, engineer training or educational institutions, railroad engineers",,,Identity Digital[ID 52],Identity Digital[ID 52],—
.edeka,edeka firms,,,EDEKA Verband kaufmännischer Genossenschaften e.V.,EDEKA Verband kaufmännischer Genossenschaften e.V.,—
.entertainment,"Ticket outlets, travel sites & local tourist sites, performance halls, theaters, & music venues, anyone in the entertainment industry, celebrity news sites",,,Identity Digital,Identity Digital,—
.enterprises,"Entrepreneurs, startups, parent & holding companies, enterprise SaaS solutions & tech services",,,Identity Digital[ID 53],Identity Digital[ID 53],—
.equipment,"Home improvement stores, construction equipment rentals, construction equipment sales, sporting goods stores",,,Identity Digital[ID 54],Identity Digital[ID 54],—
.esq,"lawyers, law firms, legal professionals",,,Google[n 2],Google[n 2],To be restricted to verified lawyers and attorneys[39]
.estate,"Estate sale management & appraisal services, estate planners & lawyers, real estate agents & brokers",,,Identity Digital[ID 55],Identity Digital[ID 55],—
.events,"Event planners, sports & gaming agencies/sites, ticket sale/resale sites, city guides & community centers, performance halls, music clubs/bars",,,Identity Digital[ID 56],Identity Digital[ID 56],—
.exchange,"Foreign currency exchanges, stock brokers, investment fund traders, ETF distributors, brokers, & dealers",,,Identity Digital[ID 57],Identity Digital[ID 57],—
.expert,"Home services providers, online review sites, skilled worker databases, freelancers, consultants, & subject matter experts",,,Identity Digital[ID 58],Identity Digital[ID 58],—
.exposed,"Tabloid sites, celebrity romance blog, TV spoiler sites, sites that host leaked documents, investigative journalism sites",,,Identity Digital[ID 59],Identity Digital[ID 59],—
.express,"Transportation services, messenger services, delivery & shipping services, direct-to-consumer stores",,,Identity Digital,Identity Digital,—
.fail,"Online meme aggregators, humor websites, video sites",,,Identity Digital[ID 60],Identity Digital[ID 60],—
.faith,religion and churches,,,Global Registry Services Ltd[10],Global Registry Services Ltd[10],—
.family,"Family-focused travel sites, blogs about family-friendly activities & games, family history sites, photo sites, obstetricians & family practice doctors",,,Identity Digital,Identity Digital,—
.fan,"Fan sites, current events & gossip sites, sport blogs and forums, personal & business sites about niche topics",,,Identity Digital,Identity Digital,
.fans,general,,,ZDNS International Limited,ZDNS International Limited,—
.farm,"Real estate brokers/agents, farming services & equipment dealers, farmers & ranchers, property managers, health food distributors, cryptocurrency farmers",,,Identity Digital[ID 61],Identity Digital[ID 61],—
.fashion,clothing industry,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.fast,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",Reserved for Amazon
.feedback,feedback and reviews,,,Top Level Spectrum,Top Level Spectrum,—
.fiat,,,,Stellantis N.V.,Stellantis N.V.,Reserved for Stellantis (previously Fiat Chrysler Automobiles and Fiat S.p.A.)
.film,films,,,Motion Picture Domain Registry Pty Ltd[11],Motion Picture Domain Registry Pty Ltd[11],
.final,final versions of anything,,,Núcleo de Informação e Coordenação do Ponto BR - NIC.br[11],Núcleo de Informação e Coordenação do Ponto BR - NIC.br[11],
.finance,"Investment services, banks & financial institutes, credit counselors & financial planners, accounting firms, lenders",,,Identity Digital[ID 62],Identity Digital[ID 62],—
.financial,"Investment services, banks & financial institutions, credit counselors & financial planners, accounting firms, lenders",,,Identity Digital[ID 63],Identity Digital[ID 63],—
.fire,,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",Reserved for Amazon (promotion of Fire devices)
.fish,"Seafood markets, restaurants , fishing enthusiasts, fishing gear, tackle,fishing guide companies, aquariums, pet & fish supply stores, marine biology programs ",,,Identity Digital[ID 64],Identity Digital[ID 64],—
.fishing,"fishing businesses, sports, and interests",,,Minds + Machines[n 3],Minds + Machines[n 3],—
.fit,Fitness and exercise,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.fitness,"Gyms, athletic clubs ,personal trainers, weight loss, health & wellness clinics, health & exercise blogs, fitness competition & events companies",,,Identity Digital[ID 65],Identity Digital[ID 65],—
.flights,"Airline-related products or services, helicopter rides, skydiving, & hang gliding, travel agencies & travel services, private pilots, airport transportation",,,Identity Digital[ID 66],Identity Digital[ID 66],—
.florist,"Florists, flower delivery services, floral designers, flower seed suppliers",,,Identity Digital[ID 67],Identity Digital[ID 67],—
.flowers,florists and gardens,,,Uniregistry,Uniregistry,—
.fly,travel,,,Google[n 2],Google[n 2],"To be restricted to verified airlines, travel agencies and travel resellers[40]"
.foo,programming and development,,,Google[n 2],Google[n 2],—[41]
.food,,,,"Lifestyle Domain Holdings, Inc.[11]","Lifestyle Domain Holdings, Inc.[11]",
.foodnetwork,,,,"Lifestyle Domain Holdings, Inc.[11]","Lifestyle Domain Holdings, Inc.[11]",Reserved for Food Network
.football,"Professional & amateur football & soccer teams, football clothing, gear & fan merchandise, football equipment manufacturers, football coaches & players",,,Identity Digital,Identity Digital,—
.forsale,"Individual real estate brokers and brokerages, wholesalers and retailers,discount, flash sale and deal websites, auction sites",,,Identity Digital[n 1],Identity Digital[n 1],—
.forum,forums,,,"Fegistry, LLC[11]","Fegistry, LLC[11]",
.foundation,"Charitable organizations, public school foundations, other philanthropic organizations & foundations",,,Identity Digital[ID 68],Identity Digital[ID 68],—
.free,sales,,,"Amazon Registry Services, Inc.[11]","Amazon Registry Services, Inc.[11]",
.frontdoor,,,,"Lifestyle Domain Holdings, Inc.[11]","Lifestyle Domain Holdings, Inc.[11]",Reserved for HGTV
.fun,,,,Radix Registry,Radix Registry,—
.fund,"Investment services, banks & financial institutions, credit counselors & financial planners, lenders",,,Identity Digital[ID 69],Identity Digital[ID 69],—
.furniture,"Home décor and furnishing stores, department stores, home designers, vintage stores, antique dealers",,,Identity Digital[ID 70],Identity Digital[ID 70],—
.fyi,"""for your information""",,,Identity Digital,Identity Digital,—
.gallery,"Galleries, professional photographers, camera and equipment retailers, photo studios & photography schools, wedding and specialty photographers",,,Identity Digital[ID 71],Identity Digital[ID 71],—
.game,gaming,,,"Uniregistry, Corp.[11]","Uniregistry, Corp.[11]",
.games,"Gaming sites, forums & reviews, online or brick & mortar game stores/clubs, sports events, clubs—professional & recreational, casinos",,,Identity Digital,Identity Digital,
.garden,gardening,,,Minds + Machines[n 3],Minds + Machines[n 3],—
.gay,gay individuals or supportive organisations,,,Top Level Design[ID 72],Top Level Design[ID 72],—
.gdn,general,,,GDN Registry,GDN Registry,—
.gift,gift-giving,,,Uniregistry,Uniregistry,—
.gifts,"Gift buyers, discount sites, corporate HR departments, bargain hunters",,,Identity Digital[ID 73],Identity Digital[ID 73],—
.gives,"Philanthropic organizations and foundations, charities, nonprofits, corporate giving initiatives, volunteer organizations",,,Identity Digital[n 1],Identity Digital[n 1],—
.glass,"Glass & glass repair shops, glass departments within home supply stores, contractors, windshield repair & auto glass businesses, DIYers/artists",,,Identity Digital[ID 74],Identity Digital[ID 74],—
.gle,Google abbreviations,,,Charleston Road Registry Inc. (a Google subsidiary)[44],Charleston Road Registry Inc. (a Google subsidiary)[44],In use for some URL abbreviations related to Google such as forms.gle and goo.gle.
.global,"general, companies or individuals with a global focus or presence",,,Dot GLOBAL,Dot GLOBAL,—
.gmbh,German limited liability companies,,,"Binky Moon, LLC","Binky Moon, LLC",—
.gold,"Jewelers, gold traders and dealers, coin sellers and traders, trophy and awards shops",,,Identity Digital,Identity Digital,—
.golf,"Professional & amateur golf organizations, golf courses,  golf travel & event companies, golf players, enthusiasts & spectators, sports networks",,,Identity Digital,Identity Digital,—
.google,Google,,,Alphabet Inc.,Alphabet Inc.,In use for some websites related to Google such as blog.google.
